bairro_origem,bairro_destino,logradouro,observacao,peso 
Recife,Santo Amaro,p.mauricio_nassau+p.limoeiro,p = ponte,1.0
Boa Vista,Cabanga,p.boa_vista+p.de_ferro+vd.cinco_pontas,p = ponte; vd = viaduto,1.5
Boa Vista,Ilha do Leite,r.dos_coelhos,r = rua,2.0
Boa Vista,Paissandu,r.dos_coelhos+r.francisco_alves,r = rua,4.0
Boa Vista,Santo Antônio,p.da_boa_vista,p = ponte,0.5
Boa Vista,São José,p.da_boa_vista+p.de_ferro,p = ponte,1.0
Boa Vista,Soledade,av.conde_da_boa_vista,av = avenida,1.0
Cabanga,Ilha do Leite,vd.cinco_pontas+r.dr_jose_mariano+r.dos_coelhos,vd = viaduto; r = rua,4.5
Cabanga,Paissandu,vd.cinco_pontas+r.dr_jose_mariano+r.dos_coelhos+r.francisco_alves,vd = viaduto; r = rua,6.5
Cabanga,Santo Antônio,vd.cinco_pontas+p.de_ferro,vd = viaduto; p = ponte,1.0
Cabanga,São José,vd.cinco_pontas,vd = viaduto,0.5
Cabanga,Soledade,vd.cinco_pontas+p.de_ferro+p.da_boa_vista+av.conde_da_boa_vista,vd = viaduto; p = ponte; av = avenida,2.5
Ilha do Leite,Paissandu,r.francisco_alves,r = rua,2.0
Ilha do Leite,Santo Antônio,r.dos_coelhos+p.da_boa_vista,r = rua; p = ponte,2.5
Ilha do Leite,São José,r.dos_coelhos+r.dr_jose_mariano,r = rua,4.0
Ilha do Leite,Soledade,r.dos_coelhos+av.conde_da_boa_vista,r = rua; av = avenida,3.0
Paissandu,Santo Antônio,r.francisco_alves+r.dos_coelhos+p.da_boa_vista,r = rua; p = ponte,4.5
Paissandu,São José,r.francisco_alves+r.dos_coelhos+r.dr_jose_mariano,r = rua,6.0
Paissandu,Soledade,r.francisco_alves+r.dos_coelhos+av.conde_da_boa_vista,r = rua; av = avenida,5.0
Santo Antônio,São José,p.de_ferro,p = ponte,0.5
Santo Antônio,Soledade,p.da_boa_vista+av.conde_da_boa_vista,p = ponte; av = avenida,1.5
São José,Soledade,p.de_ferro+p.da_boa_vista+av.conde_da_boa_vista,p = ponte; av = avenida,2.0
Coelhos,Ilha Joana Bezerra,r.dr_jose_mariano+p.joaquim_cardoso,r = rua; p = ponte,2.5
Arruda,Campina do Barreto,av.beberibe,av = avenida,1.0
Arruda,Campo Grande,est.de_belem+av.norte,est = estrada; av = avenida,2.5
Arruda,Encruzilhada,av.beberibe+av.norte+r.dr_jose_maria,av = avenida; r = rua,4.0
Arruda,Hipódromo,est.de_belem,est = estrada,1.5
Arruda,Peixinhos,av.prof_jose_dos_anjos,av = avenida,1.0
Arruda,Ponto de Parada,av.beberibe,av = avenida,1.0
Arruda,Rosarinho,av.beberibe+av.norte,av = avenida,2.0
Arruda,Torreão,est.de_belem+r.da_regeneracao,est = estrada; r  = rua,3.5
Campina do Barreto,Campo Grande,av.beberibe+av.norte,av = avenida,2.0
Campina do Barreto,Encruzilhada,av.beberibe,av = avenida,1.0
Campina do Barreto,Hipódromo,av.beberibe+est.de_belem,est = estrada; av = avenida,2.5
Campina do Barreto,Peixinhos,av.prof_jose_dos_anjos,av = avenida,1.0
Campina do Barreto,Ponto de Parada,av.beberibe,av = avenida,1.0
Campina do Barreto,Rosarinho,av.beberibe+av.norte,av = avenida,2.0
Campina do Barreto,Torreão,av.beberibe+est.de_belem+r.da_regeneracao,est = estrada; av = avenida; r = rua,4.5
Campo Grande,Encruzilhada,av.beberibe,av = avenida,1.0
Campo Grande,Hipódromo,av.norte+est.de_belem,est = estrada; av = avenida,2.5
