bairro,grau
Aflitos,30
Agua Fria,23
Arruda,23
Brejo da Guabiraba,22
Boa Vista,21
Barro,21
Cordeiro,21
Alto Jose Bonifacio,19
Afogados,19
Boa Viagem,19
Areias,18
Caxanga,17
Ibura,17
Coelhos,16
Recife,16
Engenho do Meio,16
Jaqueira,15
Santana,15
Casa Amarela,15
Casa Forte,15
Poco,15
Monteiro,15
Derby,15
Dois Irmaos,15
Gracas,15
Espinheiro,15
Sitio dos Pintos,15
Tamarineira,15
Alto do Mandu,15
Apipucos,15
Parnamirim,15
Ponto de Parada,8
Peixinhos,8
Dois Unidos,8
Encruzilhada,8
Rosarinho,8
Hipodromo,8
Torreao,8
Campina do Barreto,8
Cajueiro,8
Bomba do Hemeterio,8
Campo Grande,8
Beberibe,8
Alto Santa Teresinha,8
Porto da Madeira,8
Fundao,8
Linha do Tiro,8
Macaxeira,7
Pau-Ferro,7
Passarinho,7
Nova Descoberta,7
Corrego do Jenipapo,7
Guabiraba,7
Brejo de Beberibe,7
Zumbi,6
Tejipio,6
Torre,6
Toto,6
Sao Jose,6
Santo Antonio,6
Cabanga,6
Madalena,6
Ilha do Retiro,6
Iputinga,6
Ilha do Leite,6
Jardim Sao Paulo,6
Coqueiral,6
Curado,6
Soledade,6
Sancho,6
Paissandu,6
Prado,6
San Martin,4
Pina,4
Bongi,4
Alto Jose do Pinho,4
Morro da Conceicao,4
Brasilia Teimosa,4
Vasco da Gama,4
Imbiribeira,4
Mangabeira,4
Mustardinha,4
Ipsep,4
Mangueira,4
Cacote,3
Estancia,3
Jiquia,3
Cidade Universitaria,2
Cohab,2
Jordao,2
Varzea,2
Ilha Joana Bezerra,1
Santo Amaro,1
Torroes,1
