bairro_origem,bairro_destino,logradouro,observacao,peso
Mustardinha,Bongi,Rua João Trajano da Silva,,2.25
Agua Fria,Linha Do Tiro,Rua Itapoana,,2.12
Tejipio,Jardim Sao Paulo,Rua Iraguaçu,,2.12
Cidade Universitaria,Iputinga,Rua Mauricéia,,2.13
Estancia,Jiquia,Rua Padre Roque,,2.15
Torroes,Cordeiro,Rua Daniel Lisboa,,2.17
Sancho,Curado,Rua Orfeu do Carnaval,,2.21
Alto Jose Bonifacio,Vasco Da Gama,Travessa do Sabino,,2.18
Afogados,Bongi,Estrada do Bongi Armando da Fonte,,1.83
Sao Jose,Santo Antonio,Avenida Dantas Barreto,,1.22
Tejipio,Sancho,Avenida Padre Ibiapina,,1.22
Morro Da Conceicao,Alto Jose Bonifacio,Rua Ipanema,,2.11
Peixinhos,Campina Do Barreto,Avenida Poeta Vinícius de Morais,,1.32
Morro Da Conceicao,Vasco Da Gama,Rua Mocidade,,2.12
Areias,Jiquia,Rua Parente Viana,,2.17
Coelhos,Boa Vista,Rua dos Coqueiros,,2.17
Prado,Zumbi,Rua Abdias de Oliveira,,2.22
Macaxeira,Nova Descoberta,Rua Dantas,,2.1
Fundao,Agua Fria,Rua Major Davino,,2.16
San Martin,Bongi,Rua Acajutiba,,2.13
Boa Viagem,Imbiribeira,Rua Adauto Carneiro Leal,,2.24
Ibura,Ipsep,Rua Alaíde de Sá Leitão,,2.23
Brejo De Beberibe,Brejo Da Guabiraba,Rua Coral,,2.09
Areias,Estancia,Rua Dr Adelino Filho,,2.2
Afogados,Mustardinha,Rua Adolfo Bezerra,,2.18
Parnamirim,Tamarineira,Rua Afonso Celso,,2.16
Soledade,Santo Amaro,Rua Afonso Pena,,2.15
Boa Vista,Santo Amaro,Rua Conde D`Eu,,2.14
Nova Descoberta,Brejo De Beberibe,Rua Agrolândia,,2.14
Torre,Zumbi,Rua Diogo Álvares,,2.17
Agua Fria,Porto Da Madeira,Rua Ajapi,,2.09
Jardim Sao Paulo,Estancia,Rua Senador Alberto Pasqualini,,2.3
Tejipio,Coqueiral,Rua Alcântara,,2.13
Iputinga,Caxanga,Rua Alcides Codeceira,,2.21
Torreao,Campo Grande,Rua Djalma Farias,,2.17
Imbiribeira,Ipsep,Rua Alexandre Almeida,,2.21
Afogados,Mangueira,Rua Alexandre Rodrigues Ferreira,,2.32
Torroes,Engenho Do Meio,Rua Alexandria,,2.14
Apipucos,Dois Irmaos,Rua Dois Irmãos,,2.15
Barro,Areias,Rua Capitão Alfredo Passos,,2.26
Campina Do Barreto,Cajueiro,Rua Alice Tibiriçá,,2.18
Nova Descoberta,Brejo Da Guabiraba,Rua Dom Feliciano,,2.17
Monteiro,Casa Amarela,Rua Altino,,2.1
Alto Jose Do Pinho,Morro Da Conceicao,Rua Alto Alegre,,2.15
Iputinga,Cordeiro,Rua Coronel Fernando Furtado,,2.28
Macaxeira,Corrego Do Jenipapo,Rua Alto do Formoso,,2.19
Fundao,Porto Da Madeira,Rua Alto Egito,,2.14
Jardim Sao Paulo,Curado,Rua Coronel Fernando Machado,,2.28
Cidade Universitaria,Varzea,Rua Eduardo Dubeux,,2.18
Agua Fria,Beberibe,Rua Alto Longá,,2.14
Varzea,Iputinga,Rua Emiliano Braga,,2.18
Imbiribeira,Ibura,Avenida Presidente Dutra,,1.24
Barro,Tejipio,Rua da Esperança,,2.16
Boa Viagem,Pina,Avenida Conselheiro Aguiar,,1.26
Jordao,Ibura,Rua Dr Álvaro Ferraz,,2.2
Poco,Casa Amarela,Rua Professor Álvaro Lima,,2.25
Engenho Do Meio,Iputinga,Rua Álvaro Teixeira de Mesquita,,2.31
Derby,Gracas,Rua Amaro Bezerra,,2.17
Toto,Curado,Rua Ana Albuquerque Lima,,2.24
Coqueiral,Toto,Rua Cintra,,2.1
Encruzilhada,Ponto De Parada,Rua dos Andradas,,2.16
Fundao,Cajueiro,Rua André Bezerra,,2.17
Cohab,Ibura,Rua Angatuba,,2.12
Jiquia,San Martin,Rua Santo Ângelo,,2.16
Gracas,Aflitos,Rua Angustura,,2.13
Porto Da Madeira,Beberibe,Rua do Anil,,2.11
Gracas,Jaqueira,Rua Antenor Navarro,,2.19
Hipodromo,Ponto De Parada,Rua Professora Antônia Ribeiro Campos,,2.37
Arruda,Agua Fria,Rua Antônio Ferreira,,2.2
Bomba Do Hemeterio,Agua Fria,Rua Antônio Meira,,2.17
Madalena,Prado,Rua Antônio de Sá,,2.17
Mustardinha,San Martin,Rua Araguaia,,2.12
Pina,Brasilia Teimosa,Rua Araguari,,2.12
Cajueiro,Porto Da Madeira,Rua Arão Botler,,2.15
Vasco Da Gama,Nova Descoberta,Rua Arapiraca,,2.13
Poco,Casa Forte,Rua dos Arcos,,2.13
Mangabeira,Alto Jose Do Pinho,Rua Aripibu,,2.11
Campina Do Barreto,Fundao,Rua Assaí,,2.09
Nova Descoberta,Corrego Do Jenipapo,Rua Assaituba,,2.13
Dois Irmaos,Brejo Da Guabiraba,Avenida Embaixador Assis Chateaubriand,,1.38
Boa Viagem,Ibura,Rua Professor Aurélio de Castro Cavalcanti,,2.42
Cacote,Areias,Rua Aurora Caçote,,2.17
Jaqueira,Parnamirim,Rua Professora Aurora Soares,,2.28
Engenho Do Meio,Cidade Universitaria,Rua Engenheiro Barros Lins,,2.26
Afogados,Jiquia,Rua Belém de Maria,,2.18
Paissandu,Ilha Do Leite,Rua Estado de Israel,,2.2
Arruda,Bomba Do Hemeterio,Rua São Bento,,2.13
Ilha Do Retiro,Madalena,Rua Comendador Bento Aguiar,,2.27
