bairro,grau
Casa Amarela,9
Agua Fria,7
Boa Vista,7
Arruda,7
Campo Grande,6
Fundao,6
Parnamirim,6
Tamarineira,6
Iputinga,6
Afogados,5
Boa Viagem,5
Apipucos,5
Alto Jose Do Pinho,5
Areias,5
Curado,5
Jiquia,5
San Martin,5
Nova Descoberta,5
Vasco Da Gama,5
Santo Amaro,5
Santo Antonio,5
Monteiro,5
Cordeiro,5
Encruzilhada,5
Ibura,5
Gracas,5
Campina Do Barreto,5
Brejo Da Guabiraba,5
Poco,5
Alto Do Mandu,4
Sancho,4
Mustardinha,4
Porto Da Madeira,4
Peixinhos,4
Zumbi,4
Varzea,4
Ponto De Parada,4
Prado,4
Morro Da Conceicao,4
Mangueira,4
Madalena,4
Macaxeira,4
Coelhos,4
Brejo De Beberibe,4
Bomba Do Hemeterio,4
Casa Forte,4
Beberibe,4
Jardim Sao Paulo,4
Dois Irmaos,4
Tejipio,4
Imbiribeira,4
Corrego Do Jenipapo,3
Torroes,3
Soledade,3
Barro,3
Cidade Universitaria,3
Caxanga,3
Bongi,3
Pina,3
Paissandu,3
Cajueiro,3
Cohab,3
Torre,3
Torreao,3
Toto,3
Santana,3
Hipodromo,3
Linha Do Tiro,3
Sao Jose,3
Jaqueira,3
Estancia,3
Espinheiro,3
Coqueiral,3
Engenho Do Meio,3
Jordao,3
Ilha Do Leite,3
Alto Jose Bonifacio,2
Aflitos,2
Passarinho,2
Rosarinho,2
Ilha Joana Bezerra,2
Brasilia Teimosa,2
Guabiraba,2
Dois Unidos,2
Ipsep,2
Ilha Do Retiro,2
Recife,2
Cabanga,1
Alto Santa Teresinha,1
Cacote,1
Mangabeira,1
Derby,1
Pau-Ferro,1
Sitio Dos Pintos,1
